clause,risk,source,policy_type,coverage_amount,applicant_age,prior_claims_count,deductible_amount,state
"you may not assign , delegate , or otherwise transfer your account or your obligations under these terms without our prior written consent .",Low,unfair_tos,life,1215862,57,0,2500,FL
The insurer shall compensate the insured subject to verification of eligibility criteria. after internal evaluation.,Low,original_synthetic,life,1105280,31,0,500,IL
Claims may be approved or declined based on the insurer's interpretation of the situation.,High,original_synthetic,home,647511,45,0,5000,OH
in case of minor breaches nintendo will provide you with a prior warning of your non-compliance and give you an opportunity to remedy this .,Low,unfair_tos,home,192469,36,0,1000,FL
Benefits may be granted depending on circumstances and company judgment. if conditions are satisfied.,High,original_synthetic,life,1462974,36,0,500,PA
"the entity you are contracting with is ebay inc. , 2025 hamilton ave. , san jose , ca 95125 if you reside in the united states .",Low,unfair_tos,commercial,1097401,47,0,1000,OH
The insurer may compensate the insured depending on internal review and surrounding circumstances.,High,original_synthetic,auto,60027,40,3,5000,NY
"if you are a masquerade user located in the united states or canada , the `` special arbitration provision for the united states or canada users '' section below applies to you .",Low,unfair_tos,commercial,2266099,49,0,2500,OH
Payment for losses may be issued after verification of the insured event and policy compliance.,Low,original_synthetic,home,352512,32,0,5000,TX
Claims may be approved or declined based on the insurer's interpretation of the situation.,High,original_synthetic,home,276282,67,1,2500,FL
the revised eula will become effective at the time of posting .,Low,unfair_tos,auto,68605,59,0,5000,GA
"Compensation may be granted for eligible claims once documentation is verified under the policy terms, subject to the insurer's assessment of the circumstances.",Medium,hedged_synthetic,auto,57653,51,0,500,IL
Claims will be reviewed and paid when they comply with the conditions specified in this policy. depending on circumstances.,Low,original_synthetic,home,377491,22,0,5000,PA
The insurer may compensate losses if deemed appropriate after internal consideration.,High,original_synthetic,commercial,4669746,50,2,500,NY
"The insurer may normally reimburse medical expenses that fall within the coverage limits. subject to review, if conditions are deemed satisfactory by the insurer.",Medium,hedged_synthetic,auto,94234,62,3,1000,NY
Claims may be approved or declined based on the insurer's interpretation of the situation. depending on circumstances.,High,original_synthetic,auto,71697,32,4,2500,TX
"deliveroo reserves the right to refuse to deliver any alcohol to any person who does not appear , or can not prove they are , aged 18 or over .",Low,unfair_tos,home,323297,62,1,5000,CA
Payment may be provided based on discretionary review of the claim details. if conditions are satisfied.,High,original_synthetic,commercial,1903079,21,0,5000,CA
"The insurer may compensate the insured subject to verification of eligibility criteria. if conditions are satisfied, provided that internal evaluation supports the claim.",Medium,hedged_synthetic,auto,102612,26,3,2500,CA
"4.2 you agree not to impersonate any other person while using the products , conduct yourself in an offensive manner while using the products , or use the products for any illegal , immoral or harmful purpose .",Low,unfair_tos,home,216403,18,0,2500,GA
"we hereby disclaim liability for all third-party products , including any third-party products offered by our partners .",Low,unfair_tos,commercial,1930767,65,0,5000,IL
"any message , data , information , text , music , sound , photos , graphics , code or any other material ( `` content '' ) that is false , unlawful , misleading , libelous , defamatory , obscene , pornographic , indecent , lewd , suggestive , harassing , or advocates harassment of another person , threatening , invasive of privacy or publicity rights , abusive , inflammatory , fraudulent or otherwise objectionable ;",Low,unfair_tos,home,130868,67,0,500,CA
Compensation may be granted for eligible claims once documentation is verified under the policy terms. subject to review.,Low,original_synthetic,home,181291,42,1,5000,GA
you are not permitted to terminate it before the expiry of the 2-year minimum term except in case of breach by skype of the terms .,Low,unfair_tos,home,179658,55,0,5000,GA
commentary and other materials posted on our service are not intended to amount to advice on which reliance should be placed .,Low,unfair_tos,auto,93294,72,0,500,CA
"blizzard entertainment will use reasonable efforts to provide the service all day , every day .",Low,unfair_tos,home,333640,46,0,2500,GA
( d ) our `` yearly '' and `` two year '' subscriptions are paid for by an upfront one-off payment with automatic annual or two year renewals respectively .,Low,unfair_tos,home,423966,68,0,5000,TX
"to the extent any translated version of our terms conflicts with the english version , the english version controls .",Low,unfair_tos,auto,68591,57,0,2500,FL
"in no event shall uber 's total liability to you in connection with the services for all damages , losses and causes of action exceed five hundred euros ( $ 500 ) .",Medium,unfair_tos,commercial,3050261,22,1,2500,OH
"these communications are considered part of the services and your account , and you may not be able to opt-out from receiving them .",Low,unfair_tos,home,378355,61,0,2500,IL
"if any part of this agreement is determined to be invalid or unenforceable pursuant to applicable law including , but not limited to , the warranty disclaimers and liability limitations set forth above , then the invalid or unenforceable provision will be deemed superseded by a valid , enforceable provision that most closely matches the intent of the original provision and the remaining provisions in the agreement shall continue in effect .",Low,unfair_tos,auto,43481,38,1,5000,OH
this agreement only gives you some rights to use the application .,Low,unfair_tos,life,997384,65,0,5000,FL
• that the vimeo service will be uninterrupted or error-free ;,Low,unfair_tos,auto,47920,43,0,1000,GA
"also , just because we allow a link to be included in our games or service does not mean we endorse that linked site .",Low,unfair_tos,home,359532,31,0,500,OH
then these terms are effective as of the date of your agreement .,Low,unfair_tos,home,334688,52,0,1000,TX
any rights not expressly granted in these terms are reserved .,Low,unfair_tos,auto,68633,37,0,2500,GA
the app permits the purchase of virtual currency ( `` virtual money '' ) and use of that virtual money to purchase virtual items or services that we expressly make available for use in the app ( `` virtual goods '' ) .,Low,unfair_tos,auto,39942,74,1,500,NY
"if there is a conflict between these terms and terms and conditions posted for a specific area of the site , services or collective content , the latter terms and conditions will take precedence with respect to your use of or access to that area of the site , services or collective content , as applicable .",Low,unfair_tos,commercial,1954252,68,0,2500,OH
The insurer shall compensate the insured subject to verification of eligibility criteria. after internal evaluation.,Low,original_synthetic,home,290860,57,0,1000,NY
Compensation may be granted for eligible claims once documentation is verified under the policy terms.,Low,original_synthetic,home,100000,47,0,2500,NY
Claims may be approved or declined based on the insurer's interpretation of the situation.,High,original_synthetic,commercial,5000000,23,1,5000,NY
"to the extent the parties are permitted under these terms to initiate litigation in a court , both you and snap group limited agree that all claims and disputes ( whether contractual or otherwise ) arising out of or relating to the terms or the use of the services will be litigated exclusively in the courts of england in the united kingdom , unless this is prohibited by the laws of the country where you reside .",Medium,unfair_tos,home,369319,50,0,500,GA
"Claims may be reviewed and paid when they comply with the conditions specified in this policy. if conditions are satisfied, at the insurer's reasonable discretion.",Medium,hedged_synthetic,home,278145,61,0,2500,IL
"if you suspect that someone else knows your password , then you shall immediately change it in order to protect the security of your user account .",Low,unfair_tos,life,670124,61,0,5000,GA
microsoft is not responsible if a cortana communication management feature delays or prevents you from reviewing or sending a communication .,Medium,unfair_tos,home,581420,38,1,1000,OH
"you agree to indemnify , defend and hold supercell ( and our officers , directors , agents , subsidiaries , joint ventures and employees ) harmless from any claim , demand , damages or other losses , including reasonable attorneys ' fees , asserted by any third-party resulting from or arising out of your use of the service , or any breach by you of these terms of service , however the foregoing does not apply if the infringement of rights is not attributable to your intentional or negligent behavior .",Low,unfair_tos,auto,60229,22,1,2500,NY
"you agree that , to the extent permitted by applicable law , your sole and exclusive remedy for any problems or dissatisfaction with the spotify service is to uninstall any spotify software and to stop using the spotify service .",Medium,unfair_tos,commercial,3759390,51,0,500,GA
"you will comply with these terms and all applicable local , state , national , and international laws , rules , and regulations .",Low,unfair_tos,life,464093,42,0,2500,OH
"these virtual goods may be licensed both for a fee using `` real world money '' and without any separate fee , as applicable from time to time .",Low,unfair_tos,commercial,2931155,40,0,5000,IL
The insurer will compensate losses described in the policy when documentation confirms eligibility. subject to review.,Low,original_synthetic,auto,55339,31,0,5000,FL
"you and we both consent to venue and personal jurisdiction in san francisco , california .",Medium,unfair_tos,commercial,2881517,62,2,5000,CA
the price of any meals will be listed on our service .,Low,unfair_tos,commercial,1474789,62,0,5000,GA
Compensation may be granted for eligible claims once documentation is verified under the policy terms. subject to review.,Low,original_synthetic,commercial,1677668,18,0,2500,OH
"however , we may display advertisements and promotions on or in connection with the service , some of which may be paid for by third parties .",Low,unfair_tos,commercial,3754975,47,0,1000,NY
you are not required to become a course contributor and you may cease your activities as a course contributor at any time .,Low,unfair_tos,life,970520,50,0,1000,CA
all information and/or data included in and/or on this website is made available for guidance only .,Low,unfair_tos,auto,77859,18,0,1000,IL
The insurer may provide reimbursement depending on internal policy assessment. depending on circumstances.,High,original_synthetic,auto,150000,67,1,500,OH
this may result in a change to your payment billing dates .,Low,unfair_tos,home,524947,39,0,500,IL
6.4 in no event shall the licensor 's total liability to the licensee for all damages exceed the amount of fifty euros ( $ 50.00 ) .,Medium,unfair_tos,home,195217,64,0,5000,IL
Benefits may be payable for covered incidents provided the claim meets all policy requirements.,Low,original_synthetic,home,264044,66,0,1000,FL
"if you are unable to deliver notice via email , you may send a notice to us at the following address ( as applicable to your service provider ) :",Low,unfair_tos,commercial,2001744,52,0,1000,OH
you are responsible for maintaining the confidentiality of any login information associated with any account you use to access our resources .,Low,unfair_tos,auto,89427,49,0,1000,TX
The insurer may compensate the insured depending on internal review and surrounding circumstances. subject to policy limitations.,High,original_synthetic,home,479834,22,1,1000,CA
The insurer shall compensate the insured for covered losses provided all policy conditions are satisfied. subject to policy limitations.,Low,original_synthetic,auto,32070,24,0,1000,IL
"if you are a resident of denmark : notwithstanding anything in these terms to the contrary , if there is a dispute that you and under armour can not resolve , you have the right to submit a complaint to the danish competition and consumer authority ( konkurrence - og forbrugerstyrelsen , center for klageløsning , carl jacobsens vej 35 , 2500 valby , mail : cfk@kfst.dk ) .",Low,unfair_tos,auto,61832,20,0,1000,NY
"this includes posts that encourage the drama in a topic to escalate , or posts intended to incite an uproar from the community .",Low,unfair_tos,auto,59113,50,0,1000,TX
your interactions with third-party suppliers are at your own risk .,Low,unfair_tos,life,1653728,60,0,500,IL
"by accepting your submission , under armour does not waive any rights to use similar or related feedback previously known to under armour , developed by our employees , or obtained from sources other than you .",Low,unfair_tos,auto,76517,23,0,2500,IL
The insurer may compensate losses if deemed appropriate after internal consideration.,High,original_synthetic,home,722920,58,0,500,IL
"The insurer may compensate the insured subject to verification of eligibility criteria, if coverage criteria are met per internal guidelines.",Medium,hedged_synthetic,auto,62357,73,0,2500,FL
Claims may be approved or declined based on the insurer's interpretation of the situation.,High,original_synthetic,auto,150000,70,3,5000,GA
"in this case , you will be informed about the applicable process to register the licence for a digital product to your nintendo account .",Low,unfair_tos,auto,75462,50,0,500,FL
Claims may be approved or declined based on the insurer's interpretation of the situation. in accordance with policy terms.,High,original_synthetic,home,750000,40,2,500,GA
"linden lab has no obligation to become involved in any dispute that you may have or claim to have with one or more users of the service , or in any manner in any resolution thereof .",Low,unfair_tos,home,145146,32,0,500,FL
"Benefits may be payable for covered incidents provided the claim meets all policy requirements, subject to review by the insurer.",Medium,hedged_synthetic,home,393511,21,1,2500,CA
• that any content you submit will be made available on the vimeo service or will be stored by vimeo ;,Low,unfair_tos,life,830505,30,1,5000,GA
Claims may be settled according to the insurer's evaluation of the case. depending on circumstances.,High,original_synthetic,home,591251,66,0,500,PA
"you may not assign or transfer these terms , by operation of law or otherwise , without niantic 's prior written consent .",Low,unfair_tos,auto,87753,68,0,500,CA
The insurer shall compensate the insured for covered losses provided all policy conditions are satisfied. if conditions are satisfied.,Low,original_synthetic,auto,71239,24,0,5000,IL
Coverage may apply in certain situations subject to evaluation by the insurer. subject to review.,High,original_synthetic,home,359058,26,0,5000,PA
logging in or directly integrating these social networking services into the services may make your online and mobile experiences richer and more personalized .,Low,unfair_tos,home,169761,45,0,2500,PA
"these terms of use shall be governed by and construed in accordance with the laws of the state of new york , excluding its conflicts of law rules , and the united states of america .",Medium,unfair_tos,home,609035,49,0,5000,CA
Claims will be reviewed and paid when they comply with the conditions specified in this policy. in accordance with policy terms.,Low,original_synthetic,home,487248,28,0,1000,IL
"when there 's something important to tell you about a service you use , we 'll send you service notifications to the email associated with your microsoft account or , for skype notifications , your skype account .",Low,unfair_tos,auto,61736,49,0,500,GA
7.1 the licensee represents and warrants that he or she :,Low,unfair_tos,auto,59076,24,0,5000,IL
"( f ) you may not otherwise download , display , copy , reproduce , distribute , modify , perform , transfer , create derivative works from , sell or otherwise exploit any content , code , data or materials in the products .",Low,unfair_tos,auto,53685,32,1,500,CA
The insurer will compensate losses described in the policy when documentation confirms eligibility. in accordance with policy terms.,Low,original_synthetic,home,245475,21,0,2500,PA
The insurer shall generally compensate valid claims unless exclusions apply under the contract. depending on circumstances.,Low,original_synthetic,life,718351,51,0,2500,PA
Compensation may be granted for eligible claims once documentation is verified under the policy terms. if conditions are satisfied.,Low,original_synthetic,auto,81382,25,0,2500,IL
Claims may be settled according to the insurer's evaluation of the case. in accordance with policy terms.,High,original_synthetic,auto,146012,39,2,2500,GA
"The insurer may compensate the insured subject to verification of eligibility criteria, at the insurer's reasonable discretion.",Medium,hedged_synthetic,commercial,2925597,70,0,2500,GA
Benefits may be granted depending on circumstances and company judgment. after internal evaluation.,High,original_synthetic,commercial,3000053,50,1,1000,CA
"The insurer may compensate the insured subject to verification of eligibility criteria. based on available documentation, if coverage criteria are met per internal guidelines.",Medium,hedged_synthetic,auto,82530,29,1,1000,CA
the services may contain links to other websites or mobile applications provided by third parties .,Low,unfair_tos,life,763140,71,0,2500,TX
"a `` skype manager admin account '' is a skype account that is created and managed by you , acting as an individual administrator of a skype manager group and not as a business entity .",Low,unfair_tos,commercial,1797854,25,0,2500,CA
Benefits may be payable for covered incidents provided the claim meets all policy requirements. subject to policy limitations.,Low,original_synthetic,auto,64127,33,2,2500,OH
the place of arbitration shall be tel aviv and judgment on the award rendered by the arbitrator may be entered in any court having competent jurisdiction .,Low,unfair_tos,home,265780,59,0,500,CA
"you waive any rights you may have under california civil code § 1542 , or any other similar applicable statute or law of any other jurisdiction , which says that : a general release does not extend to claims which the creditor does not know or suspect to exist in his or her favor at the time of executing the release , which if known by him or her must have materially affected his or her settlement with the debtor .",Low,unfair_tos,home,415147,26,2,1000,TX
they may not be used without the express written prior permission of ebay .,Low,unfair_tos,auto,53596,48,1,1000,CA
any waiver must be in writing and signed by both you and us to be legally binding .,Low,unfair_tos,home,402231,30,0,5000,IL
"Payment for losses may be issued after verification of the insured event and policy compliance, contingent on documentation review.",Medium,hedged_synthetic,home,688324,25,1,500,IL
you agree that you are not relying on the future availability of any feature or product offered through the service in agreeing to or making payments hereunder .,Low,unfair_tos,auto,90393,72,0,5000,NY
"if you subscribed using your apple id , refunds are handled by apple , not tinder .",Low,unfair_tos,commercial,1289720,19,0,500,NY
Coverage may apply in certain situations subject to evaluation by the insurer.,High,original_synthetic,auto,139985,49,1,2500,OH
"we want to know if you have a problem so we encourage you to contact our customer support team if you have any concerns with respect to the operation of the service or any evernote software , as we want to ensure that you have an excellent experience .",Low,unfair_tos,home,334303,69,1,5000,PA
10.1 headspace is a provider of online and mobile meditation content in the health & wellness space .,Low,unfair_tos,commercial,2011398,22,0,500,NY
The insurer will normally reimburse medical expenses that fall within the coverage limits. based on available documentation.,Low,original_synthetic,commercial,1673679,64,0,500,TX
"Benefits may be payable for covered incidents provided the claim meets all policy requirements. after internal evaluation, subject to applicable policy limitations and review.",Medium,hedged_synthetic,life,1902679,75,0,2500,NY
children from the age of 13 may use a nintendo account set up for them by their parent or legal guardian which is not an associated nintendo account .,Low,unfair_tos,auto,34584,56,0,500,GA
you can change your payment method by visiting our website and clicking on the `` your account '' link .,Low,unfair_tos,home,344137,30,0,2500,GA
The insurer will compensate losses described in the policy when documentation confirms eligibility. based on available documentation.,Low,original_synthetic,auto,62170,34,1,500,GA
The insurer may determine eligibility for reimbursement after reviewing the circumstances. after internal evaluation.,High,original_synthetic,home,750000,71,0,1000,FL
"in this regard , you acknowledge that you may not rely on any content created by yahoo or submitted to yahoo , including without limitation information in yahoo message boards and in all other parts of the yahoo services .",Low,unfair_tos,auto,135979,42,1,1000,TX
"if you are a california resident , you may have the agreements mailed to you electronically by sending a letter to spotify , attn : general counsel , 45 west 18th street , 7th floor , new york , new york 10011 , usa with your email address and a request for the agreements .",Low,unfair_tos,commercial,1206410,50,0,2500,FL
"if the prohibition against class actions and other claims brought on behalf of third parties contained above is found to be unenforceable , then all of the preceding language in this arbitration section will be null and void .",Low,unfair_tos,home,279653,45,0,2500,GA
"Claims may be reviewed and paid when they comply with the conditions specified in this policy, subject to review by the insurer.",Medium,hedged_synthetic,auto,101344,32,1,2500,TX
Payment may be provided based on discretionary review of the claim details. in accordance with policy terms.,High,original_synthetic,home,323275,31,2,1000,TX
"Benefits may be payable for covered incidents provided the claim meets all policy requirements. based on available documentation, subject to the insurer's assessment of the circumstances.",Medium,hedged_synthetic,home,359235,48,1,500,FL
Compensation may be granted for eligible claims once documentation is verified under the policy terms.,Low,original_synthetic,life,448829,50,0,5000,NY
"if you choose to contribute by sending the company or our employees any ideas for products , services , features , modifications , enhancements , content , refinements , technologies , content offerings ( such as audio , visual , games , or other types of content ) , promotions , strategies , or product/feature names , or any related documentation , artwork , computer code , diagrams , or other materials ( collectively `` feedback '' ) , then regardless of what your accompanying communication may say , the following terms will apply , so that future misunderstandings can be avoided .",Low,unfair_tos,auto,66733,73,0,5000,NY
promote or provide instructional information about illegal or harmful activities or substances ;,Low,unfair_tos,life,318400,18,0,2500,IL
Benefits may be granted depending on circumstances and company judgment.,High,original_synthetic,auto,122410,74,4,2500,NY
( 11 ) referring to pop culture icons or personas ;,Low,unfair_tos,auto,73492,53,1,500,GA
The insurer may compensate the insured depending on internal review and surrounding circumstances. if conditions are satisfied.,High,original_synthetic,auto,108593,64,2,2500,FL
Claims will be reviewed and paid when they comply with the conditions specified in this policy. subject to review.,Low,original_synthetic,auto,86760,75,0,1000,FL
"please note that when you access facebook companies and third-party services through our services , masquerade is not responsible for those third-party services and masquerade does not endorse or make any representations or warranties about those facebook companies or third-party services .",Low,unfair_tos,home,120430,45,0,2500,GA
"any questions , complaints , or claims related to any product or service provided by a merchant should be directed to the applicable merchant .",Low,unfair_tos,life,1289478,29,0,500,CA
"you acknowledge and agree that : ( i ) skype is not required to offer access to emergency services under any applicable local and/or national rules , regulations or law ; ( ii ) it is your responsibility to purchase , separately from the products , traditional wireless ( mobile ) or fixed line telephone services that offer access to emergency services , and ( iii ) the software and the products are not a replacement for your primary telephone service .",Low,unfair_tos,home,184721,21,0,2500,IL
"if an update affects your use of the services or your legal rights as a user of our services , we 'll notify you prior to the update 's effective date by sending an email to the email address associated with your account or via an in-product notification .",Low,unfair_tos,auto,82579,54,0,2500,GA
Payment may be provided based on discretionary review of the claim details. subject to policy limitations.,High,original_synthetic,commercial,4186983,52,1,1000,PA
Claims may be settled according to the insurer's evaluation of the case.,High,original_synthetic,life,1054482,35,0,1000,GA
Claims will be reviewed and paid when they comply with the conditions specified in this policy.,Low,original_synthetic,home,356697,71,0,1000,PA
you agree to comply in full with all applicable travel provider terms .,Low,unfair_tos,auto,66179,37,0,2500,PA
Coverage may apply in certain situations subject to evaluation by the insurer. after internal evaluation.,High,original_synthetic,commercial,3176352,41,0,2500,CA
Claims may be settled according to the insurer's evaluation of the case.,High,original_synthetic,commercial,2806710,49,4,1000,FL
"you may not use bird 's eye imagery of the united states , canada , mexico , new zealand , australia or japan for governmental use without our separate written approval .",Low,unfair_tos,auto,45778,32,0,5000,CA
The insurer may determine eligibility for reimbursement after reviewing the circumstances.,High,original_synthetic,auto,82571,41,2,500,IL
"we reserve the right to modify or terminate the service or your access to the service for any reason , without notice , at any time , and without liability to you .",Medium,unfair_tos,auto,70049,57,1,5000,NY
16.3 the parties acknowledge that apple bears no responsibility for any claims that the use of the digital product infringes the intellectual property rights of third parties .,Low,unfair_tos,life,1119517,26,0,500,FL
"the netflix service is provided to you by netflix international b.v. , a netherlands limited liability company .",Low,unfair_tos,auto,73466,74,1,5000,TX
The insurer may compensate the insured depending on internal review and surrounding circumstances. subject to review.,High,original_synthetic,commercial,4942851,54,1,1000,TX
"the provisions regarding `` use and restrictions '' , `` cancellation and termination '' , `` ownership and licenses '' , `` disclaimer and limitation of liability '' and `` general conditions '' and any provisions which by their nature survive , shall survive the termination of these terms of service .",Low,unfair_tos,commercial,1920911,51,0,500,OH
you may need to update third party software from time to time in order to receive the service and play supercell games .,Low,unfair_tos,home,139228,24,0,500,PA
"accordingly , you are responsible for all activities that occur under your account/s .",Low,unfair_tos,life,796074,21,0,5000,CA
"you will not , in your use of the services , cause nuisance , annoyance , inconvenience , or property damage , whether to the third party provider or any other party .",Low,unfair_tos,home,156854,69,0,2500,TX
( e ) to receive and view an electronic copy of the communications you must have the following equipment and software :,Low,unfair_tos,home,386367,51,0,500,CA
"and if you are using the apps on an ios-based device , you agree to and acknowledge the `` notice regarding apple , '' below .",Low,unfair_tos,commercial,3029978,23,0,1000,CA
"for more information , see the full yahoo privacy policy at https://policies.yahoo.com/us/en/yahoo/privacy/index.html .",Low,unfair_tos,home,664065,56,0,2500,OH
"Compensation may be granted for eligible claims once documentation is verified under the policy terms. depending on circumstances, provided that internal evaluation supports the claim.",Medium,hedged_synthetic,commercial,3551309,65,0,5000,PA
"our services may allow you to access , use or interact with websites , apps , content or other products and services provided by facebook and other facebook affiliates ( collectively `` facebook companies '' ) , or third parties ( `` third-party services '' ) .",Low,unfair_tos,home,587784,75,0,1000,PA
truecaller hereby reserves the right in its absolute discretion to remove any user generated content from the services .,Medium,unfair_tos,commercial,1421126,61,2,1000,NY
The insurer may provide reimbursement depending on internal policy assessment. subject to review.,High,original_synthetic,auto,107459,20,3,5000,CA
Claims may be approved or declined based on the insurer's interpretation of the situation. subject to review.,High,original_synthetic,commercial,1811588,18,1,1000,IL
"truecaller and its licensors shall retain ownership in and to the services and to all related intellectual property rights , including without limitation copyrights , trademarks , trade names , database rights and patents .",Low,unfair_tos,home,318740,50,0,5000,IL
Benefits may be payable for covered incidents provided the claim meets all policy requirements. subject to policy limitations.,Low,original_synthetic,life,491338,49,0,5000,CA
"please carefully read the fine print ( below the room types or at the bottom of each supplier page on our platform ) and important information in your reservation confirmation for additional policies as may be applied by the supplier ( e.g. in respect of age requirement , security deposit , non-cancellation/additional supplements for group bookings , extra beds/no free breakfast , pets/cards accepted ) .",Low,unfair_tos,auto,68759,66,0,2500,CA
the aaa rules will govern payment of all arbitration fees .,Low,unfair_tos,commercial,1938233,62,0,2500,IL
"you can obtain aaa and jams procedures , rules , and fee information as follows :",Low,unfair_tos,commercial,1030294,62,0,2500,NY
Claims may be approved or declined based on the insurer's interpretation of the situation.,High,original_synthetic,commercial,2698146,37,3,2500,TX
special provisions applicable to users outside the united states,Low,unfair_tos,home,286415,51,0,2500,IL
"if you are a business , government , or non-profit entity , the person whose email address is associated with the account must have the authority to bind the entity to this agreement .",Low,unfair_tos,home,174752,37,0,1000,TX
"18.7 this paragraph 18 , along with paragraphs , 4.2 , 12 , 20.3 and any other provisions , which are expressed or clearly intended to survive or operate in the event of termination , shall survive termination of the terms .",Low,unfair_tos,home,466276,36,0,500,TX
Benefits may be payable for covered incidents provided the claim meets all policy requirements. depending on circumstances.,Low,original_synthetic,auto,93239,75,0,500,CA
"for as long as you use our services , you consent to downloading and installing updates to our services , including automatically .",Low,unfair_tos,home,346785,37,1,5000,CA
"and a statement that the information in the notification is accurate , and under penalty of perjury , that you are authorized to act on behalf of the owner of an exclusive right that is allegedly infringed .",Low,unfair_tos,auto,63024,37,2,5000,NY
"when returning the software subject to the limited warranty above , please send the original software only to the rovio address specified below and include : your name and return address ; a photocopy of your dated sales receipt ; and a brief note describing the defect and the system on which you are running the software .",Low,unfair_tos,home,574220,68,0,500,OH
"for users residing in the eu or european economic area or elsewhere where our arbitration agreement is prohibited by law , the laws of texas , u.s.a. , excluding texas 's conflict of laws rules , will apply to any disputes arising out of or relating to this agreement or the services .",Medium,unfair_tos,commercial,2441728,32,0,5000,IL
you can find these terms and conditions here .,Low,unfair_tos,auto,34210,72,1,500,GA
The insurer will normally reimburse medical expenses that fall within the coverage limits. after internal evaluation.,Low,original_synthetic,home,323877,41,1,1000,PA
we will do our best to ensure that your meal is delivered by the time specified in the email and webpage .,Low,unfair_tos,auto,84493,33,3,1000,PA
12.1 nothing in the terms shall affect any statutory rights that you are always entitled to as a consumer and that you can not contractually agree to alter or waive .,Low,unfair_tos,auto,49369,42,0,5000,CA
Claims may be settled according to the insurer's evaluation of the case. if conditions are satisfied.,High,original_synthetic,commercial,3709904,27,1,2500,IL
The insurer may compensate the insured depending on internal review and surrounding circumstances. based on available documentation.,High,original_synthetic,life,2000000,56,0,2500,IL
you will comply with all applicable u.s. and non-u.s. export control and trade sanctions laws ( `` export laws '' ) .,Low,unfair_tos,home,113293,75,1,5000,NY
arbitration procedures : the american arbitration association ( aaa ) will administer the arbitration under its commercial arbitration rules and the supplementary procedures for consumer related disputes .,Low,unfair_tos,commercial,2285468,73,0,5000,OH
digital millenium copyright act ( `` dmca '' ) notice,Low,unfair_tos,auto,29653,49,2,500,IL
The insurer will normally reimburse medical expenses that fall within the coverage limits.,Low,original_synthetic,home,182556,38,0,2500,GA
Claims will be reviewed and paid when they comply with the conditions specified in this policy. if conditions are satisfied.,Low,original_synthetic,life,978429,20,0,500,OH
"therefore , no one has the right to `` sell '' blizzard entertainment 's content , except blizzard entertainment !",Low,unfair_tos,auto,35430,57,0,1000,GA
"The insurer may generally compensate valid claims unless exclusions apply under the contract. based on available documentation, subject to applicable policy limitations and review.",Medium,hedged_synthetic,auto,73761,63,4,2500,GA
opt-out of agreement to arbitrate : you can decline this agreement to arbitrate by contacting legal@fitbit.com within 30 days of first accepting these terms of service and stating that you ( include your first and last name ) decline this arbitration agreement .,Low,unfair_tos,home,165477,36,0,500,PA
Benefits may be payable for covered incidents provided the claim meets all policy requirements. if conditions are satisfied.,Low,original_synthetic,auto,25000,64,0,500,PA
"such modifications are an integral part of certain services , such as the apps , and you hereby acknowledge them and agree to them .",Low,unfair_tos,commercial,3315500,41,0,500,CA
Coverage may be extended depending on internal decisions made during claim assessment. based on available documentation.,High,original_synthetic,auto,76732,41,4,2500,GA
the award of the arbitrator is final and binding upon you and headspace .,Low,unfair_tos,home,335542,62,0,5000,GA
"you represent and warrant you will only send messages through the apps to other users who have given you their express consent to receive such messages , and you will indemnify and hold the company harmless from any and all claims arising out of your sending these messages to any users .",Low,unfair_tos,life,782694,73,0,1000,IL
"violate any applicable federal , state , or local laws or regulations or the terms of this eula ;",Low,unfair_tos,auto,42584,74,1,1000,NY
you will cooperate as fully required by instagram in the defense of any claim .,Low,unfair_tos,auto,32645,63,0,5000,PA
"Benefits may be payable for covered incidents provided the claim meets all policy requirements. subject to policy limitations, contingent on documentation review.",Medium,hedged_synthetic,auto,50621,39,1,5000,NY
Benefits may be granted depending on circumstances and company judgment.,High,original_synthetic,auto,114515,47,1,500,CA
Coverage may be extended depending on internal decisions made during claim assessment.,High,original_synthetic,commercial,5000000,65,1,2500,PA
The insurer shall compensate the insured for covered losses provided all policy conditions are satisfied. after internal evaluation.,Low,original_synthetic,auto,53430,56,0,2500,PA
"except as prohibited by law , you waive any rights of attribution and/or any moral rights you may have in your user content , regardless of whether your user content is altered or changed in any manner .",Low,unfair_tos,home,163565,53,0,500,FL
"note that the unlimited service may be discontinued in the future , in which case you will no longer be charged for the service .",Low,unfair_tos,home,286489,62,2,5000,PA
"betterpoints.uk is also not responsible or liable for any reputational and goodwill damage or loss to you through being associated with betterpoints.uk by being a member , partner , merchant or any other involvement with betterpoints.uk within the area of transfer of funds .",Medium,unfair_tos,commercial,4966428,23,2,5000,FL
"if you are participating in our forums , please stay on-topic in an existing thread , and post new threads in the appropriate forum .",Low,unfair_tos,auto,70106,28,0,5000,PA
"your purchase and use of third-party content may be subject to additional terms , including , but not limited to , third-party end-user agreements , and privacy policies .",Low,unfair_tos,home,212306,30,0,1000,FL
"you agree that all agreements , notices , disclosures , and other communications that we provide to you electronically satisfy any legal requirement that such communications be in writing .",Low,unfair_tos,auto,41813,65,1,500,FL
"Payment for losses may be issued after verification of the insured event and policy compliance, at the insurer's reasonable discretion.",Medium,hedged_synthetic,commercial,4789451,43,3,2500,OH
"unless otherwise specified , these virtual goods shall be deemed an integral part of the software .",Low,unfair_tos,home,301094,65,0,5000,CA
